<Ticker>,<Per>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SHAPNA,d,20080629,000000,360,360,360,360,189389047
SHAPNA,d,20080630,000000,371,371,360,369,19643005
SHAPNA,d,20080701,000000,362,362,359,361,22646072
SHAPNA,d,20080702,000000,364,371,361,368,3591428
SHAPNA,d,20080705,000000,377,379,370,377,7310389
SHAPNA,d,20080706,000000,389,389,385,388,4607603
SHAPNA,d,20080707,000000,400,400,377,397,17571371
SHAPNA,d,20080708,000000,409,409,391,406,7920559
SHAPNA,d,20080709,000000,401,401,394,399,1030343
SHAPNA,d,20080712,000000,387,388,387,387,1629454
SHAPNA,d,20080713,000000,385,399,379,396,2387382
SHAPNA,d,20080714,000000,407,408,400,406,1794383
SHAPNA,d,20080715,000000,418,418,418,418,2319151
SHAPNA,d,20080720,000000,211,418,211,418,39182025
SHAPNA,d,20080727,000000,404,469,404,469,687690
SHAPNA,d,20080915,000000,490,627,469,493,10909243
SHAPNA,d,20080916,000000,507,507,494,506,8356577
SHAPNA,d,20080917,000000,518,521,512,519,5185186
SHAPNA,d,20080920,000000,529,529,503,506,1857382
SHAPNA,d,20080921,000000,495,501,491,495,4027472
SHAPNA,d,20080923,000000,507,510,502,509,2598000
SHAPNA,d,20080924,000000,514,515,505,511,2136544
SHAPNA,d,20080927,000000,507,507,495,505,687840
SHAPNA,d,20080928,000000,492,501,490,492,3065766
SHAPNA,d,20080929,000000,497,499,492,493,863343
SHAPNA,d,20080930,000000,493,496,487,491,1196114
SHAPNA,d,20081004,000000,478,488,476,486,563693
SHAPNA,d,20081005,000000,472,486,439,486,68547222
SHAPNA,d,20081006,000000,471,486,439,486,58874381
SHAPNA,d,20081007,000000,471,471,471,471,1658788
SHAPNA,d,20081008,000000,457,471,457,471,3189
SHAPNA,d,20081011,000000,457,471,457,471,405
SHAPNA,d,20081012,000000,457,471,457,471,8701
SHAPNA,d,20081013,000000,457,471,457,471,8040
SHAPNA,d,20081014,000000,457,471,457,471,9534
SHAPNA,d,20081015,000000,457,471,457,471,1048
SHAPNA,d,20081018,000000,457,471,457,471,570
SHAPNA,d,20081019,000000,457,471,457,471,310
SHAPNA,d,20081021,000000,457,471,457,471,20
SHAPNA,d,20081022,000000,457,457,457,457,10319
SHAPNA,d,20081026,000000,443,443,443,443,3282
SHAPNA,d,20081027,000000,430,430,430,430,2492
SHAPNA,d,20081028,000000,417,417,417,417,24747
SHAPNA,d,20081029,000000,405,405,405,405,27460
SHAPNA,d,20081101,000000,393,405,393,405,8810
SHAPNA,d,20081103,000000,392,392,392,392,200
SHAPNA,d,20081105,000000,381,392,381,382,10069398
SHAPNA,d,20081108,000000,370,373,370,373,1299257
SHAPNA,d,20081109,000000,362,365,362,365,1121189
SHAPNA,d,20081110,000000,354,365,354,365,11375
SHAPNA,d,20081111,000000,439,439,365,365,82478541
SHAPNA,d,20081116,000000,354,365,354,365,777
SHAPNA,d,20081117,000000,354,365,354,365,303
SHAPNA,d,20081119,000000,354,365,354,365,100
SHAPNA,d,20081122,000000,354,365,354,365,114
SHAPNA,d,20081125,000000,354,354,354,354,50
SHAPNA,d,20081129,000000,344,344,344,344,50
SHAPNA,d,20081130,000000,333,333,333,333,460
SHAPNA,d,20081201,000000,323,323,323,323,77
SHAPNA,d,20081202,000000,314,323,314,323,1049
SHAPNA,d,20081203,000000,314,436,314,314,624339035
SHAPNA,d,20081206,000000,304,304,304,304,50
SHAPNA,d,20081207,000000,295,295,295,295,2000
SHAPNA,d,20081210,000000,286,286,286,286,10
SHAPNA,d,20081213,000000,278,278,278,278,8988
SHAPNA,d,20081214,000000,278,278,278,278,12668
SHAPNA,d,20081215,000000,269,269,269,269,2000
SHAPNA,d,20081216,000000,261,261,261,261,6449
SHAPNA,d,20081220,000000,253,253,253,253,27188
SHAPNA,d,20081221,000000,246,246,246,246,10
SHAPNA,d,20081222,000000,238,238,238,238,7200
SHAPNA,d,20081223,000000,238,238,238,238,50
SHAPNA,d,20081224,000000,231,231,231,231,5888
SHAPNA,d,20081227,000000,224,224,224,224,14160
SHAPNA,d,20081228,000000,218,218,218,218,5371
SHAPNA,d,20081229,000000,211,218,211,211,6602795
SHAPNA,d,20081230,000000,209,214,209,211,706341
SHAPNA,d,20081231,000000,211,211,205,209,833707
SHAPNA,d,20090103,000000,210,216,210,216,817996
SHAPNA,d,20090104,000000,219,219,218,219,857029
SHAPNA,d,20090105,000000,222,222,222,222,287953
SHAPNA,d,20090110,000000,223,223,223,223,263800
SHAPNA,d,20090111,000000,224,224,224,224,2694
SHAPNA,d,20090112,000000,224,224,224,224,6690
SHAPNA,d,20090113,000000,224,224,224,224,6179
SHAPNA,d,20090114,000000,224,224,223,224,3062075
SHAPNA,d,20090117,000000,231,231,231,231,1620415
SHAPNA,d,20090118,000000,238,238,238,238,77706
SHAPNA,d,20090119,000000,238,238,238,238,1665000
SHAPNA,d,20090120,000000,245,245,245,245,1664903
SHAPNA,d,20090121,000000,253,253,253,253,1664903
