<Ticker>,<Per>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<VAL>,<COUNT>,<PREVIOUS>,<COL1>,<COL2>,<TSEClose>,<MarketValue>,<ShareCount>
ZAGROS,d,20110711,000000,12500,12500,12500,12500,119710000,1496375000000,1188,12500,زاگرس,13900420,000000,12500,30000000000000,2400000000
ZAGROS,d,20110712,000000,12610,12940,12511,12513,3442782,43688685207,2143,12500,زاگرس,13900421,000000,12690,30031200000000,2400000000
ZAGROS,d,20110713,000000,12515,12685,12501,12502,6791040,85081819837,2282,12690,زاگرس,13900422,000000,12529,30004800000000,2400000000
ZAGROS,d,20110719,000000,12629,12629,12500,12501,1679151,20990483955,361,12529,زاگرس,13900428,000000,12501,30002400000000,2400000000
ZAGROS,d,20110720,000000,12501,12515,12500,12500,2181008,27262745866,479,12501,زاگرس,13900429,000000,12500,30000000000000,2400000000
ZAGROS,d,20110723,000000,12500,12505,12500,12503,1126554,14081970003,294,12500,زاگرس,13900501,000000,12500,30007200000000,2400000000
ZAGROS,d,20110724,000000,12501,12645,12500,12530,557673,6994327991,255,12500,زاگرس,13900502,000000,12542,30072000000000,2400000000
ZAGROS,d,20110725,000000,12601,12889,12601,12630,2767051,35365057587,461,12542,زاگرس,13900503,000000,12781,30312000000000,2400000000
ZAGROS,d,20110726,000000,12600,12600,12501,12512,137318,1719567548,57,12781,زاگرس,13900504,000000,12523,30028800000000,2400000000
ZAGROS,d,20110727,000000,12580,12580,12500,12500,454612,5683158547,161,12523,زاگرس,13900505,000000,12501,30000000000000,2400000000
ZAGROS,d,20110730,000000,12580,12580,12500,12500,452872,5660945840,138,12501,زاگرس,13900508,000000,12500,30000000000000,2400000000
ZAGROS,d,20110731,000000,12502,12540,12500,12501,435686,5446487363,135,12500,زاگرس,13900509,000000,12501,30002400000000,2400000000
ZAGROS,d,20110801,000000,12540,12540,12500,12500,755282,9441774560,93,12501,زاگرس,13900510,000000,12501,30000000000000,2400000000
ZAGROS,d,20110802,000000,12550,12550,12500,12500,497950,6224737400,77,12501,زاگرس,13900511,000000,12501,30000000000000,2400000000
